time_s,total_queue,vip_queue,phase
9.616,5,0,NS
9.634,5,0,NS
9.651,5,0,NS
9.668,5,0,NS
9.685,5,0,NS
9.702,6,0,NS
9.719,6,0,NS
9.736,6,0,NS
9.753,6,0,NS
9.77,6,0,NS
9.787,6,0,NS
9.804,6,0,NS
9.822,6,0,NS
9.839,6,0,NS
9.856,6,0,NS
9.873,6,0,NS
9.89,6,0,NS
9.907,6,0,NS
9.924,6,0,NS
9.941,6,0,NS
9.958,6,0,NS
9.975,6,0,NS
9.992,6,0,NS
10.009,6,0,NS
10.026,6,0,NS
10.043,6,0,NS
10.06,6,0,NS
10.077,6,0,NS
10.094,6,0,NS
10.111,6,0,NS
10.128,6,0,NS
10.145,6,0,NS
10.162,6,0,NS
10.179,6,0,NS
10.197,6,0,NS
10.214,6,0,NS
10.231,6,0,NS
10.248,6,0,NS
10.265,6,0,NS
10.282,6,0,NS
10.299,6,0,NS
10.316,7,0,NS
10.333,7,0,NS
10.35,7,0,NS
10.367,7,0,NS
10.384,7,0,NS
10.401,7,0,NS
10.418,7,0,NS
10.435,6,0,NS
10.452,6,0,NS
10.469,6,0,NS
10.486,6,0,NS
10.503,6,0,NS
10.52,6,0,NS
10.537,6,0,NS
10.554,6,0,NS
10.571,6,0,NS
10.588,6,0,NS
10.605,6,0,NS
10.622,6,0,NS
10.639,6,0,NS
10.656,6,0,NS
10.673,6,0,NS
10.69,6,0,NS
10.707,6,0,NS
10.724,6,0,NS
10.741,6,0,NS
10.758,6,0,NS
10.775,6,0,NS
10.792,6,0,NS
10.809,6,0,NS
10.826,6,0,NS
10.843,6,0,NS
10.86,6,0,NS
10.877,6,0,NS
10.894,6,0,NS
10.911,6,0,NS
10.928,6,0,NS
10.945,6,0,NS
10.962,7,0,NS
10.979,7,0,NS
10.996,7,0,NS
11.013,7,0,NS
11.03,7,0,NS
11.047,6,0,NS
11.064,6,0,NS
11.081,6,0,NS
11.099,6,0,NS
11.116,6,0,NS
11.133,6,0,NS
11.149,6,0,NS
11.166,6,0,NS
11.183,6,0,NS
11.2,6,0,NS
11.217,6,0,NS
11.234,6,0,NS
11.251,6,0,NS
11.268,6,0,NS
11.284,6,0,NS
11.301,6,0,NS
11.318,6,0,NS
11.335,6,0,NS
11.352,6,0,NS
11.369,6,0,NS
11.386,6,0,NS
11.403,6,0,NS
11.42,6,0,NS
11.437,6,0,NS
11.454,6,0,NS
11.471,6,0,NS
11.488,6,0,NS
11.505,6,0,NS
11.522,6,0,NS
11.539,6,0,NS
11.556,6,0,NS
11.573,6,0,NS
11.59,6,0,NS
11.607,6,0,NS
11.624,6,0,NS
11.641,6,0,NS
11.658,6,0,NS
11.675,6,0,NS
11.692,6,0,NS
11.709,6,0,NS
11.726,6,0,NS
11.743,6,0,NS
11.76,6,0,NS
11.777,6,0,NS
11.794,6,0,NS
11.811,6,0,NS
11.828,6,0,NS
11.845,6,0,NS
11.862,6,0,NS
11.879,6,0,NS
11.896,6,0,NS
11.913,6,0,NS
11.93,6,0,NS
11.947,6,0,NS
11.964,6,0,NS
11.981,6,0,NS
11.998,6,0,NS
12.015,6,0,NS
12.032,6,0,NS
12.049,6,0,NS
12.065,6,0,NS
12.082,6,0,NS
